mm_wall,mm_fuel,mm_capacity,cohort,group,n,group_total,share
Double-Walled,Motor-Fuel-Mixed,1k-5k,1992-1994,Texas,29,358115,0.000080979573600659
Double-Walled,Motor-Fuel-Mixed,1k-5k,1992-1994,Control States,679,5721325,0.000118678802550109
Double-Walled,Motor-Fuel-Mixed,1k-5k,1995-1997,Texas,26,358115,0.0000726023763316253
Double-Walled,Motor-Fuel-Mixed,1k-5k,1995-1997,Control States,898,5721325,0.000156956649027979
Double-Walled,Motor-Fuel-Mixed,25k-Plus,1989-1991,Texas,0,,0
Double-Walled,Motor-Fuel-Mixed,25k-Plus,1989-1991,Control States,0,,0
Double-Walled,Motor-Fuel-Mixed,25k-Plus,1992-1994,Texas,0,,0
Double-Walled,Motor-Fuel-Mixed,25k-Plus,1992-1994,Control States,85,5721325,0.0000148566984046528
Double-Walled,Motor-Fuel-Mixed,25k-Plus,1995-1997,Texas,24,358115,0.0000670175781522695
Double-Walled,Motor-Fuel-Mixed,25k-Plus,1995-1997,Control States,264,5721325,0.0000461431573979804
Double-Walled,Motor-Fuel-Mixed,5k-12k,1989-1991,Texas,31,358115,0.0000865643717800148
Double-Walled,Motor-Fuel-Mixed,5k-12k,1989-1991,Control States,1661,5721325,0.000290317365295626
Double-Walled,Motor-Fuel-Mixed,5k-12k,1992-1994,Texas,307,358115,0.000857266520531114
Double-Walled,Motor-Fuel-Mixed,5k-12k,1992-1994,Control States,1920,5721325,0.000335586599258039
Double-Walled,Motor-Fuel-Mixed,5k-12k,1995-1997,Texas,325,358115,0.000907529704145316
Double-Walled,Motor-Fuel-Mixed,5k-12k,1995-1997,Control States,2081,5721325,0.000363726933883323
Double-Walled,Motor-Fuel-Mixed,Under-1k,1989-1991,Texas,0,,0
Double-Walled,Motor-Fuel-Mixed,Under-1k,1989-1991,Control States,0,,0
Double-Walled,Motor-Fuel-Mixed,Under-1k,1992-1994,Texas,0,,0
Double-Walled,Motor-Fuel-Mixed,Under-1k,1992-1994,Control States,23,5721325,0.00000402004780361193
Double-Walled,Motor-Fuel-Mixed,Under-1k,1995-1997,Texas,0,,0
Double-Walled,Motor-Fuel-Mixed,Under-1k,1995-1997,Control States,24,5721325,0.00000419483249072549
Double-Walled,Other-Fuel,12k-25k,1989-1991,Texas,2680,358115,0.00748362956033676
Double-Walled,Other-Fuel,12k-25k,1989-1991,Control States,21470,5721325,0.00375262723232818
Double-Walled,Other-Fuel,12k-25k,1992-1994,Texas,3334,358115,0.00930985856498611
Double-Walled,Other-Fuel,12k-25k,1992-1994,Control States,16882,5721325,0.00295071508785115
Double-Walled,Other-Fuel,12k-25k,1995-1997,Texas,3782,358115,0.0105608533571618
Double-Walled,Other-Fuel,12k-25k,1995-1997,Control States,13760,5721325,0.00240503729468261
Double-Walled,Other-Fuel,1k-5k,1989-1991,Texas,2331,358115,0.00650908227803918
Double-Walled,Other-Fuel,1k-5k,1989-1991,Control States,48150,5721325,0.00841588268451801
Double-Walled,Other-Fuel,1k-5k,1992-1994,Texas,1321,358115,0.0036887591974645
Double-Walled,Other-Fuel,1k-5k,1992-1994,Control States,29419,5721325,0.00514199071019388
Double-Walled,Other-Fuel,1k-5k,1995-1997,Texas,838,358115,0.00234003043715008
Double-Walled,Other-Fuel,1k-5k,1995-1997,Control States,21310,5721325,0.00372466168239001
Double-Walled,Other-Fuel,25k-Plus,1989-1991,Texas,30,358115,0.0000837719726903369
Double-Walled,Other-Fuel,25k-Plus,1989-1991,Control States,1532,5721325,0.000267770140657977
