panel_id,n_tanks,n_sw,n_dw,n_closed,n_closed_sw,n_closed_dw,any_closed,has_both_types
KS03445_KS,2,2,0,0,0,0,0,0
KS06161_KS,1,1,0,0,0,0,0,0
KS06299_KS,2,2,0,0,0,0,0,0
KS06729_KS,3,3,0,3,3,0,1,0
KS06730_KS,3,3,0,0,0,0,0,0
KS29185_KS,3,3,0,0,0,0,0,0
KS02923_KS,5,5,0,0,0,0,0,0
KS07715_KS,2,2,0,0,0,0,0,0
KS27284_KS,2,2,0,2,2,0,1,0
KS07148_KS,3,3,0,0,0,0,0,0
KS07870_KS,2,2,0,0,0,0,0,0
KS19365_KS,3,3,0,0,0,0,0,0
KS23085_KS,1,1,0,1,1,0,1,0
KS23324_KS,1,1,0,1,1,0,1,0
KS27525_KS,2,2,0,2,2,0,1,0
KS29842_KS,5,5,0,0,0,0,0,0
KS30009_KS,2,2,0,0,0,0,0,0
KS05855_KS,1,1,0,0,0,0,0,0
KS08220_KS,2,2,0,0,0,0,0,0
KS29997_KS,2,2,0,0,0,0,0,0
KS02477_KS,3,3,0,3,3,0,1,0
KS00291_KS,2,2,0,2,2,0,1,0
KS29985_KS,4,4,0,0,0,0,0,0
KS01557_KS,3,3,0,0,0,0,0,0
KS03293_KS,3,3,0,3,3,0,1,0
KS13514_KS,2,2,0,2,2,0,1,0
KS26013_KS,2,2,0,0,0,0,0,0
KS27487_KS,1,1,0,1,1,0,1,0
KS28494_KS,1,1,0,1,1,0,1,0
KS29911_KS,2,2,0,2,2,0,1,0
KS06061_KS,2,2,0,0,0,0,0,0
KS28240_KS,5,5,0,0,0,0,0,0
KS01970_KS,4,4,0,0,0,0,0,0
KS03056_KS,1,1,0,0,0,0,0,0
KS04636_KS,2,2,0,2,2,0,1,0
KS06334_KS,2,2,0,2,2,0,1,0
KS08736_KS,1,1,0,0,0,0,0,0
KS26731_KS,2,2,0,0,0,0,0,0
KS01444_KS,2,2,0,0,0,0,0,0
KS01454_KS,2,2,0,0,0,0,0,0
KS03067_KS,2,2,0,0,0,0,0,0
KS19938_KS,2,2,0,0,0,0,0,0
